id,player_id,games_played,pass_att,pass_comp,pass_yd,pass_td,pass_int,qbr,rush_att,rush_yds,rush_td,rush_fum,targ,rec,rec_yds,rec_td,tackle_solo,tackle_tot,tackle_ast,sacks,sack_yds,tackle_for_loss,interceptions,int_td,kick_ret_td,punt_ret_td,fg_made,fg_att,fg_made_1_19,fg_att_1_19,fg_made_20_29,fg_att_20_29,fg_made_30_39,fg_att_30_39,fg_made_40_49,fg_att_40_40,fg_made_50,fg_att_50,xp_made,xp_att
91,6790,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,6818,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,23,0,0,7,8,7,8,3,4,1,3,31,32
93,6084,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,8064,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,34,14,5,53,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,6418,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,8519,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,8787,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,9781,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,6657,16,1,0,0,0,0,39.6,1,7,0,0,99,75,844,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,6085,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,39,7,15.5,100,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,7746,16,0,0,0,0,0,39.6,1,9,0,0,169,101,1367,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,8397,8,0,0,0,0,0,39.6,0,0,0,0,9,4,85,0,3,6,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,6827,2,0,0,0,0,0,39.6,3,6,0,0,1,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,8102,13,1,0,0,0,0,39.6,259,1242,7,2,94,75,616,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,9945,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,87,26,1,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,6384,13,0,0,0,0,0,39.6,4,37,0,0,38,19,282,1,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,8433,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,80,22,1,21,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,6303,16,0,0,5,0,0,39.6,0,0,0,0,117,63,941,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,6564,16,1,0,0,0,0,39.6,2,-3,0,0,75,47,677,4,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,7190,12,0,0,0,0,0,39.6,0,0,0,0,10,5,116,1,5,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,6396,16,0,0,0,0,0,39.6,2,10,0,0,73,55,701,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,8322,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,34,11,4.5,40,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,6358,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,7814,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,6468,10,0,0,0,0,0,39.6,91,348,2,0,51,39,337,1,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,7358,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,77,15,0,0,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,6304,3,0,0,0,0,0,39.6,0,0,0,0,6,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,8453,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,109,15,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,6003,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,39,2,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,6170,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,6744,9,0,0,0,0,0,39.6,29,129,0,0,4,2,75,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,11547,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,8352,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,41,15,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
