id,player_id,team_id,date_started,date_left
372,8425,78,2016-07-01,2016-07-01
373,6316,69,2016-07-01,2016-07-01
374,6891,61,2016-07-01,2016-07-01
375,7471,63,2016-07-01,2016-07-01
376,9882,64,2016-07-01,2016-07-01
377,6032,68,2016-07-01,2016-07-01
378,7715,70,2016-07-01,2016-07-01
379,9669,56,2016-07-01,2016-07-01
380,11657,69,2016-07-01,2016-07-01
381,9725,55,2016-07-01,2016-07-01
382,10042,67,2016-07-01,2016-07-01
383,8512,80,2016-07-01,2016-07-01
384,7758,53,2016-07-01,2016-07-01
385,9873,62,2016-07-01,2016-07-01
386,7104,65,2016-07-01,2016-07-01
387,8431,78,2016-07-01,2016-07-01
388,6805,72,2016-07-01,2016-07-01
389,8652,67,2016-07-01,2016-07-01
390,7878,48,2016-07-01,2016-07-01
391,7112,65,2016-07-01,2016-07-01
392,9694,49,2016-07-01,2016-07-01
393,6559,78,2016-07-01,2016-07-01
394,6172,56,2016-07-01,2016-07-01
395,6649,52,2016-07-01,2016-07-01
396,8745,55,2016-07-01,2016-07-01
397,6507,57,2016-07-01,2016-07-01
398,6424,64,2016-07-01,2016-07-01
399,8153,59,2016-07-01,2016-07-01
400,6087,52,2016-07-01,2016-07-01
401,8251,75,2016-07-01,2016-07-01
402,6338,69,2016-07-01,2016-07-01
403,7603,80,2016-07-01,2016-07-01
404,7629,50,2016-07-01,2016-07-01
405,6845,61,2016-07-01,2016-07-01
406,7704,70,2016-07-01,2016-07-01
407,7564,50,2016-07-01,2016-07-01
408,6692,65,2016-07-01,2016-07-01
409,7963,74,2016-07-01,2016-07-01
410,6486,57,2016-07-01,2016-07-01
411,6191,56,2016-07-01,2016-07-01
412,7705,70,2016-07-01,2016-07-01
413,5937,76,2016-07-01,2016-07-01
414,10015,79,2016-07-01,2016-07-01
415,9839,52,2016-07-01,2016-07-01
416,11548,71,2016-07-01,2016-07-01
417,6970,62,2016-07-01,2016-07-01
418,11502,66,2016-07-01,2016-07-01
419,7969,74,2016-07-01,2016-07-01
420,7482,63,2016-07-01,2016-07-01
421,8233,75,2016-07-01,2016-07-01
422,7838,51,2016-07-01,2016-07-01
